大事	だいじ, おおごと	important; valuable; serious matter
最終日	さいしゅうび	[n.] last day; final day
風	かぜ	[n.] wind; breeze; draught; draft // [n.; prefn.] manner; behaviour; behavior // [n.] cold; influenza
風	ふう	[adjn..; n.; sufn.] method; manner; way; style // [n.] appearance; air // [n.] tendency // [n.] folk song (genre of the Shi Jing) // [n.] wind (one of the five elements)
楽しい	たのしい	[adj.] enjoyable; fun
帰還	きかん	[n.; suru] repatriation; return // [n.] (electrical) feedback
明日	あした,あす,みょうにち	[tempn.] tomorrow // [n.] near future
冷える	ひえる	[v1.; vi.] to grow cold (from room temperature, e.g. in refrigerator); to get chilly; to cool down
不参加	ふさんか	[n.] abstention; nonparticipation
てんこ盛り	てんこもり	[n.; no-n.] heap; pile; stack; spoonful; bowlful
当日	とうじつ	[advn.; tempn.] appointed day; very day
晴れる	はれる	[v1.; vi.] to clear up; to clear away; to be sunny; to stop raining // [n.] to refresh (e.g. spirits) // [n.] to be cleared (e.g. of a suspicion) // [n.] to be dispelled; to be banished
今度	こんど	[advn.; tempn.] now; this time; next time; another time
一応	いちおう	[adv.] more or less; though not quite satisfactorily; after a fashion; pretty much; roughly; so far as it goes // [n.] tentatively; for the time being // [n.] just in case // [n.] once
出かける	でかける	[v1.; vi.] to go out (e.g. on an excursion or outing); to leave; to depart; to start; to set out // [n.] to be about to leave; to be just going out
門	もん,かど	[n.; sufn.] gate // [n.] branch of learning based on the teachings of a single master // [n.] division; phylum // [cnt.] counter for cannons
あしらう	あしらう	[v5u.; vt.] to arrange; to treat; to handle; to deal with
女王	じょおう	[n.; no-n.] queen
忙しい	いそがしい,せわしい	[adj.] busy; hectic; occupied; engaged
王室	おうしつ	[n.] royal family
仕事をやめる	しごとをやめる	[phrase; v1.] to quit one's job; to resign
多すぎる	おおすぎる	[v1.] to be too numerous; to be too much
暑い	あつい	[adj.] hot (weather, etc.); warm
夏	なつ	[advn.; tempn.] summer
秋	あき	[tempn.] autumn; fall
警官	けいかん	[n.] police officer; policeman; constable
撃つ	うつ	[v5tsu.] to shoot (at) // [n.] to attack; to defeat; to destroy; to avenge
撃たれる	うたれる	[v1.; vi.] to be struck; to be beaten
質問	しつもん	[n.; suru; no-n.] question; inquiry; enquiry
質問をする	しつもんをする	[phrase; vsuruirr.] to ask a question; to ask questions
銃	じゅう	[n.] gun; rifle; small arms
認める	みとめる	[v1.; vt.] to recognize; to recognise; to observe; to notice // [n.] to deem; to judge; to assess // [n.] to approve; to deem acceptable; to allow // [n.] to admit; to accept; to confess (to a charge) // [n.] to watch steadily; to observe carefully // [n.] to renown; to give renown to; to appreciate; to acknowledge
火	ひ	[n.; sufn.] fire; flame; blaze
少し	すこし	[adv.; n.] small quantity; little; few; something // [n.] little while // [n.] short distance
広い	ひろい	[adj.] spacious; vast; wide
視力	しりょく	[n.; no-n.] eyesight
文部	もんぶ	[n.; abbr.] Ministry of Education, Culture, Sports, Science and Technology
学校	がっこう	[n.] school
黒板	こくばん	[n.] blackboard
眼鏡	めがね,がんきょう,メガネ	[n.] spectacles; glasses // [n.] judgement; discrimination; discernment; insight
休む	やすむ	[v5mu.; vi.] to be absent; to take a day off // [n.] to rest; to have a break // [n.] to go to bed; to (lie down to) sleep; to turn in; to retire // [n.] to stop doing some ongoing activity for a time; to suspend business
返事	へんじ	[n.; suru] reply; answer; response
税	ぜい	[n.; suffix] tax
消費税	しょうひぜい	[n.] consumption tax (incl. sales tax, VAT, excise duty, etc.)
重い	おもい	[adj.] heavy; weighty; massive // [n.] heavy (feeling); depressed; gloomy; blue; uneasy // [n.] slow; sluggish; lumbering; ponderous; clumsy // [n.] important; serious; grave // [n.] serious; severe; critical // [n.] solid; established; dignified; sensible
重さ	おもさ	[n.] weight
漁師	りょうし	[n.; no-n.; sensitive] fisherman
お酒	おさけ,ごしゅ	[n.; teineigo] alcohol; sake
鳥居	とりい	[n.] torii; Shinto shrine archway
似る	にる	[v1.; vi.] to resemble; to look like; to take after // [n.] to be similar (in status, condition, etc.); to be close; to be alike; to be like
鯨	くじら,クジラ	[n.; us. kana] whale (Cetacea spp.)
盛ん	さかん	[adjn..] popular // [n.] prosperous // [n.] enthusiastic // [n.] energetic; vigorous
燃料	ねんりょう	[n.] fuel
空港	くうこう	[n.] airport
決まり	きまり	[n.; no-n.] rule; regulation // [n.] settlement; conclusion; end; agreement; arrangement // [n.] habit; custom; habitual way // [n.] countenance in front of another person; face // [arch.] love relationship between a customer and a prostitute
往復葉書	おうふくはがき	[n.] postcard with a reply card attached
漁師	りょうし	[n.; no-n.; sensitive] fisherman
毛ガニ	けガニ,けがに	[n.] hair crab (Erimacrus isenbeckii)
蟹	かに,カニ	[n.; us. kana] crab
港	みなと	[n.] harbour; harbor; port
港	こう	[suffix] harbour
取ってくる	とってくる	[vkuru.] to fetch; to go and get
分ける	わける	[v1.; vt.] to divide (into); to split (into); to part; to separate; to divide up; to classify; to sort out; to divide out // [n.] to share; to distribute; to deal out; to dish out // [n.] to distinguish; to discriminate; to differentiate (between) // [n.] to break up (a fight); to mediate // [n.] to call a draw; to tie // [n.] to push one's way through (a crowd) // [n.] to sell
甲羅	こうら	[n.] shell; carapace // [n.] person's back // [n.] years of experience
競り	せり	[n.] competing; competition // [n.] auction
漁協	ぎょきょう	[n.; abbr.] fishery cooperative
災害	さいがい	[n.] calamity; disaster; misfortune
避難	ひなん	[n.; suru] taking refuge; finding shelter; evacuation; escape
台風	たいふう	[n.] typhoon; hurricane
水	みず,み	[n.] water (esp. cool, fresh water, e.g. drinking water) // [n.] fluid (esp. in an animal tissue); liquid // [n.] flood; floodwaters // [n.] water offered to wrestlers just prior to a bout // [n.] break granted to wrestlers engaged in a prolonged bout
高齢	こうれい	[n.; no-n.] advanced (old) age
高齢者	こうれいしゃ	[n.] old person; old people
等	とう	[n.; sufn.; cnt.] class; order; rank // [suffix] et cetera; etc.; and the like // [pref.] equal; iso-
開始	かいし	[n.; suru] start; commencement; beginning; initiation
姫	ひめ	[n.] princess; young lady of noble birth // [sufn.; n.] girl // [pref.] small; cute; lesser (in names of species) // [n.; arch.] prostitute
俳優	はいゆう	[n.; no-n.] actor; actress; player; performer
演じる	えんじる	[v1.; vt.] to perform (a play); to play (a part); to act (a part); to commit (a blunder)
頭がいい	あたまがいい	[phrase; yoi-adj.] bright; intelligent
上手	じょうず,じょうて,じょうしゅ	[adjn..; n.] skill; skillful; dexterity // [n.] flattery
上手	うわて,かみて	[adjn..; n.] upper part // [n.] upper stream; upper course of a river // [n.] right side of the stage (audience's or camera's POV); stage left (actor's POV) // [adjn..; n.] skillful (only in comparisons); dexterity (only in comparisons) // [n.] over-arm grip on opponent's belt
決して	けっして,けして	[adv.] never; by no means; not in the least; in no way
日朝	にっちょう	[n.] Japan and (North) Korea // [no-n.] Japanese-North Korean
会う	あう	[v5u.; vi.] to meet; to encounter; to see // [us. kana] to have an accident; to have a bad experience
船	ふね	[n.] ship; boat; watercraft; vessel; steamship // [n.] tank; tub; vat; trough // [sufn.; cnt.] counter for boat-shaped containers (e.g. of sashimi)
沈む	しずむ	[v5mu.; vi.] to sink; to go under; to submerge // [n.] to go down (e.g. sun); to set; to descend // [n.] to feel depressed
市場	いちば	n. (town) market; n. (the) marketplace
侵犯	しんぱん	[n.; suru] violation; invasion; infringement; trespass
目をやる	めをやる	[phrase; v5ru.] to look towards
領土	りょうど	[n.; no-n.] dominion; territory; possession
天然	てんねん	[n.; no-n.] nature; spontaneity // [abbr.; coll.] natural airhead
悪気	わるぎ	[n.] ill will; malice; evil intent; ill feeling; distrust
若しか	もしか	[adv.; us. kana] if; in case
若しかすると	もしかすると	[phrase; adv.; us. kana] perhaps; maybe; by some chance
装う	よそおう	[v5u.; vt.] to dress // [n.] to pretend; to feign
僧徒	そうと	[n.] priests; monks
態と	わざと	[adv.; us. kana] on purpose
全巻	ぜんかん	[n.] the whole reel; the whole volume; the complete set
通す	とおす	[v5su.; vt.] to stick through; to force through // [n.] to spread throughout; to thoroughly diffuse // [n.] to make a path between two points // [n.] to proceed in a logical manner // [n.] to let pass; to allow through // [n.] to lead (someone) into (a house, room, etc.); to show in // [n.] to go through (a middleman) // [n.] to (look, listen) through (a window, wall, etc.) // [n.] to pass (a law, applicant, etc.) // [n.] to force to accept; to force agreement // [n.] to continue (in a state); to persist in // [n.] to do to the entirety of; to cover all of; to span the whole ... // [n.] to do from beginning to end without a break // [n.] to convey (one's ideas, etc.) to the other party // [n.] to do to the end; to carry through; to complete
通し	とおし	[n.] direct; right through; straight // [n.] appetizer; appetiser // [abbr.] performance of an entire play
崖	がけ	[n.] cliff
崖下	がいか,がけした	[n.] below a cliff
転落	てんらく	[n.; suru] fall; tumble; spill; plunge; dive // [n.] degradation; comedown; demotion; slump
先代	せんだい	[n.] family predecessor; previous age; previous generation
関わる	かかわる	[v5ru.; vi.] to be affected; to be influenced // [n.] to be concerned with; to have to do with // [n.] to stick to (opinions)
拘らず	かかわらず	[phrase; us. kana] in spite of; regardless of
爆睡	ばくすい	[n.; suru; no-n.; coll.] sleeping like a log; (being) fast asleep (bombed, crashed)
脅かす	おどかす	[v5su.; vt.] to threaten; to menace // [n.] to startle; to surprise
脅かす	おびやかす	[v5su.; vt.] to intimidate; to scare // [n.] to jeopardize; to endanger; to imperil
出勤	しゅっきん	[n.; suru] attendance (at work); being at work; presence (in the office); going to work; reporting for work
視線	しせん	[n.] one's line of sight; one's gaze; one's eyes (looking); glance; gaze; look
痛い	いたい	[adj.] painful; sore // [adj.; suffix] exceeding
眠る	ねむる,ねぶる	[v5ru.; vi.] to sleep (not necessarily lying down) // [n.] to die // [n.] to lie idle (e.g. of resources); to be dormant; to be unused // [arch.] to close one's eyes
年男	としおとこ	[n.] Man of the Year, referring to a man born in a year with the same Chinese zodiac sign as the current year
刺す	さす	[v5su.; vt.] to pierce; to stab; to prick; to stick; to thrust // [n.] to sting; to bite // [n.] to sew; to stitch; to embroider // [n.] to pole (a boat) // [n.] to catch (with a limed pole) // [n.] to put (a runner) out; to pick off
やまゆり	やまゆり,ヤマユリ	[n.; us. kana] golden-rayed lily (Lilium auratum)
園	その,えん	[n.; sufn.] garden (esp. man-made); orchard; park; plantation // [n.] place; location
知能	ちのう	[n.] intelligence; intellect; brains
埼玉	さいたま	[n.] Saitama (city)
埼玉県	さいたまけん	[n.] Saitama prefecture (Kanto area)
北朝鮮	きたちょうせん	[n.] North Korea
厳しい	きびしい,いかめしい	[adj.] severe; strict; rigid; unsparing; relentless // [n.] stern; austere; grave; solemn; majestic // [n.] intense (cold); harsh
制裁	せいさい	[n.; suru] restraint; sanctions; punishment
水爆	すいばく	[n.; no-n.; abbr.] hydrogen bomb
理事	りじ	[n.] director; board of directors
安全保障理事会	あんぜんほしょうりじかい	[n.] (UN) Security Council
理事会	りじかい	[n.] board of directors or trustees
考え方	かんがえかた	[n.] way of thinking
発射	はっしゃ	[n.; suru] firing; shooting; discharge; catapult // [slang] ejaculation
決まって	きまって	[phrase] always; without fail; invariably; usually; regularly
共和党	きょうわとう	[n.] Republican Party
民主党	みんしゅとう	[n.] Democratic Party (esp. DPJ or US Democratic Party)
貿易	ぼうえき	[n.; suru] trade (foreign)
協定	きょうてい	[n.; suru] arrangement; pact; agreement
本当に	ほんとうに,ほんとに,ホントに,ホントーに,ホントウに	[adv.] really; truly
